Name,URI,Region GSS code,Period,Sales volume,Reporting period,Average price All property types,Pivotable date
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2013-03,173,monthly,218740,01/03/2013
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2013-03,348,monthly,287167,01/03/2013
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2013-04,139,monthly,220203,01/04/2013
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2013-04,276,monthly,291850,01/04/2013
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2013-05,172,monthly,221686,01/05/2013
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2013-05,299,monthly,293106,01/05/2013
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2013-06,188,monthly,224762,01/06/2013
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2013-06,334,monthly,304280,01/06/2013
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2013-07,216,monthly,224133,01/07/2013
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2013-07,451,monthly,306443,01/07/2013
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2013-08,194,monthly,224817,01/08/2013
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2013-08,469,monthly,309365,01/08/2013
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2013-09,239,monthly,224015,01/09/2013
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2013-09,414,monthly,311870,01/09/2013
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2013-10,205,monthly,223556,01/10/2013
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2013-10,398,monthly,324529,01/10/2013
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2013-11,266,monthly,228005,01/11/2013
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2013-11,486,monthly,339744,01/11/2013
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2013-12,266,monthly,229561,01/12/2013
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2013-12,397,monthly,351674,01/12/2013
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2014-01,237,monthly,234334,01/01/2014
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2014-01,430,monthly,355235,01/01/2014
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2014-02,218,monthly,234169,01/02/2014
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2014-02,426,monthly,360798,01/02/2014
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2014-03,264,monthly,234548,01/03/2014
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2014-03,525,monthly,367789,01/03/2014
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2014-04,211,monthly,242493,01/04/2014
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2014-04,466,monthly,376185,01/04/2014
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2014-05,241,monthly,249075,01/05/2014
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2014-05,438,monthly,380180,01/05/2014
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2014-06,319,monthly,257977,01/06/2014
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2014-06,466,monthly,382091,01/06/2014
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2014-07,250,monthly,263542,01/07/2014
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2014-07,421,monthly,380478,01/07/2014
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2014-08,287,monthly,270521,01/08/2014
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2014-08,405,monthly,386156,01/08/2014
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2014-09,263,monthly,276292,01/09/2014
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2014-09,400,monthly,391887,01/09/2014
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2014-10,283,monthly,278469,01/10/2014
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2014-10,472,monthly,401870,01/10/2014
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2014-11,227,monthly,279108,01/11/2014
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2014-11,397,monthly,399720,01/11/2014
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2014-12,245,monthly,279219,01/12/2014
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2014-12,334,monthly,404511,01/12/2014
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2015-01,198,monthly,278132,01/01/2015
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2015-01,276,monthly,407228,01/01/2015
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2015-02,211,monthly,279870,01/02/2015
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2015-02,251,monthly,409419,01/02/2015
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2015-03,217,monthly,282742,01/03/2015
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2015-03,406,monthly,405580,01/03/2015
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2015-04,185,monthly,287539,01/04/2015
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2015-04,328,monthly,409026,01/04/2015
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2015-05,228,monthly,291590,01/05/2015
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2015-05,401,monthly,422346,01/05/2015
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2015-06,374,monthly,293256,01/06/2015
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2015-06,400,monthly,429689,01/06/2015
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2015-07,268,monthly,297453,01/07/2015
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2015-07,379,monthly,426684,01/07/2015
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2015-08,240,monthly,301504,01/08/2015
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2015-08,368,monthly,419834,01/08/2015
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2015-09,283,monthly,308543,01/09/2015
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2015-09,362,monthly,421779,01/09/2015
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2015-10,307,monthly,313025,01/10/2015
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2015-10,390,monthly,426901,01/10/2015
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2015-11,273,monthly,317550,01/11/2015
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2015-11,313,monthly,440717,01/11/2015
